id,b,s,f
data/seg_test/seg_test/buildings/23639.jpg,0.99899036,8.1972445e-05,0.0009276876
data/seg_test/seg_test/forest/23681.jpg,0.0008310345,0.9991621,6.9305665e-06
data/seg_test/seg_test/buildings/24290.jpg,0.9993382,0.00062360783,3.8099177e-05
data/seg_test/seg_test/forest/22286.jpg,0.0010167336,0.99887806,0.00010518015
data/seg_test/seg_test/forest/22538.jpg,0.0012664158,0.99872714,6.4351284e-06
data/seg_test/seg_test/forest/23698.jpg,0.00015773064,0.9998128,2.9537048e-05
data/seg_test/seg_test/buildings/23628.jpg,0.9979996,0.0006866127,0.0013137662
data/seg_test/seg_test/forest/23551.jpg,8.916796e-05,0.9999051,5.696681e-06
data/seg_test/seg_test/forest/21894.jpg,3.1862826e-05,0.9999658,2.3247392e-06
data/seg_test/seg_test/sea/22661.jpg,0.0035611552,0.0010456656,0.99539316
data/seg_test/seg_test/sea/22962.jpg,0.0062480317,0.0117393015,0.98201275
data/seg_test/seg_test/buildings/23886.jpg,0.99999833,1.1550059e-09,1.6899247e-06
data/seg_test/seg_test/forest/22004.jpg,1.8572775e-05,0.9999813,6.392903e-08
data/seg_test/seg_test/forest/23600.jpg,0.0002456482,0.9997397,1.468986e-05
data/seg_test/seg_test/sea/20759.jpg,8.628726e-05,0.00053097395,0.99938273
data/seg_test/seg_test/forest/22771.jpg,0.00016270844,0.9998342,3.1273419e-06
data/seg_test/seg_test/buildings/22741.jpg,0.9989761,0.0007782122,0.00024573365
data/seg_test/seg_test/buildings/20268.jpg,0.99997497,2.4500378e-06,2.2501677e-05
data/seg_test/seg_test/buildings/20549.jpg,0.9999783,2.4538565e-07,2.1442305e-05
data/seg_test/seg_test/sea/22620.jpg,0.0004163342,0.00031959979,0.99926406
data/seg_test/seg_test/sea/22326.jpg,0.00071106706,0.008215185,0.9910738
data/seg_test/seg_test/buildings/20804.jpg,0.9999982,6.720869e-09,1.7327542e-06
data/seg_test/seg_test/buildings/20515.jpg,0.999838,1.1322685e-09,0.00016198325
data/seg_test/seg_test/forest/23393.jpg,0.04810631,0.38394737,0.5679463
data/seg_test/seg_test/forest/22434.jpg,0.00024560277,0.999754,4.1304713e-07
data/seg_test/seg_test/sea/22675.jpg,0.0011363587,0.011351505,0.98751205
data/seg_test/seg_test/forest/22111.jpg,0.014526574,0.98232216,0.0031512135
data/seg_test/seg_test/buildings/22295.jpg,0.9994393,1.3151526e-05,0.0005476002
data/seg_test/seg_test/forest/21947.jpg,0.02681294,0.97278464,0.00040237862
data/seg_test/seg_test/forest/23528.jpg,2.1437716e-05,0.99997795,5.3707237e-07
data/seg_test/seg_test/sea/20882.jpg,0.00015434682,0.0006601886,0.9991855
data/seg_test/seg_test/buildings/20730.jpg,0.99997675,1.333541e-07,2.3139848e-05
data/seg_test/seg_test/forest/22014.jpg,0.00026895633,0.99973017,8.403506e-07
data/seg_test/seg_test/forest/22201.jpg,2.3982633e-05,0.99997437,1.669273e-06
data/seg_test/seg_test/buildings/24050.jpg,0.99708956,8.6879736e-05,0.0028236147
data/seg_test/seg_test/sea/22824.jpg,1.864411e-05,1.9505813e-05,0.99996185
data/seg_test/seg_test/buildings/23815.jpg,0.95318377,4.1552034e-06,0.04681209
data/seg_test/seg_test/sea/22678.jpg,0.0016218757,0.003782833,0.99459535
data/seg_test/seg_test/forest/22087.jpg,3.6426463e-05,0.9999503,1.3211099e-05
data/seg_test/seg_test/buildings/20922.jpg,0.9952733,0.00016221833,0.0045645954
data/seg_test/seg_test/sea/22350.jpg,0.00042170184,0.00043285152,0.9991454
data/seg_test/seg_test/buildings/23776.jpg,0.9999831,3.391001e-07,1.6537802e-05
data/seg_test/seg_test/buildings/20646.jpg,0.99849975,4.3717437e-06,0.0014958681
data/seg_test/seg_test/sea/20848.jpg,0.001932596,0.0002814367,0.9977859
data/seg_test/seg_test/buildings/20635.jpg,0.99996483,2.8190788e-08,3.5167937e-05
data/seg_test/seg_test/sea/21392.jpg,5.1211206e-05,2.6404721e-05,0.9999224
data/seg_test/seg_test/buildings/22907.jpg,0.99936956,7.092005e-07,0.00062974315
data/seg_test/seg_test/sea/22980.jpg,6.156375e-05,0.00015292624,0.9997855
data/seg_test/seg_test/sea/21227.jpg,0.00011386354,0.0013048004,0.9985813
data/seg_test/seg_test/forest/21169.jpg,1.989374e-05,0.99997914,9.720222e-07
data/seg_test/seg_test/forest/20800.jpg,1.4239564e-05,0.99998236,3.4294053e-06
data/seg_test/seg_test/sea/20893.jpg,0.00036497667,0.006386135,0.99324894
data/seg_test/seg_test/buildings/21841.jpg,0.9988158,5.6937402e-05,0.0011273617
data/seg_test/seg_test/forest/22805.jpg,1.0916628e-05,0.99998844,5.58288e-07
data/seg_test/seg_test/buildings/21151.jpg,0.9998074,4.742944e-07,0.00019210519
data/seg_test/seg_test/sea/21393.jpg,0.0016074874,0.00018643572,0.998206
data/seg_test/seg_test/forest/20756.jpg,0.00079124985,0.9991929,1.58619e-05
data/seg_test/seg_test/buildings/22598.jpg,0.9999969,6.700525e-08,2.9723508e-06
data/seg_test/seg_test/sea/20393.jpg,0.0017873934,0.0051343157,0.9930783
data/seg_test/seg_test/forest/24312.jpg,1.3792693e-05,0.99998605,6.2919355e-08
data/seg_test/seg_test/sea/22104.jpg,0.0022374338,0.0011420671,0.99662054
data/seg_test/seg_test/forest/21198.jpg,0.020912128,0.9781568,0.0009310917
data/seg_test/seg_test/buildings/23932.jpg,0.9994363,4.154502e-07,0.00056325115
data/seg_test/seg_test/buildings/21516.jpg,0.44704756,0.38452977,0.16842267
data/seg_test/seg_test/forest/20136.jpg,9.0156405e-05,0.99700826,0.002901578
data/seg_test/seg_test/forest/21459.jpg,3.1526655e-05,0.9999678,7.4087177e-07
data/seg_test/seg_test/forest/23477.jpg,8.7371765e-05,0.9998622,5.0423638e-05
data/seg_test/seg_test/forest/23933.jpg,7.9252466e-05,0.9997445,0.00017622866
data/seg_test/seg_test/forest/20754.jpg,0.00036184263,0.9996239,1.426822e-05
data/seg_test/seg_test/sea/22484.jpg,0.035237066,0.0011947956,0.9635681
data/seg_test/seg_test/buildings/22256.jpg,0.99999106,7.519122e-07,8.258317e-06
data/seg_test/seg_test/buildings/21470.jpg,0.06359197,0.9360983,0.00030979555
data/seg_test/seg_test/buildings/20928.jpg,0.9638391,4.8916445e-07,0.03616037
data/seg_test/seg_test/buildings/20431.jpg,0.9999993,2.673686e-09,7.700976e-07
data/seg_test/seg_test/forest/23750.jpg,6.0791495e-05,0.9998938,4.5381516e-05
data/seg_test/seg_test/forest/21016.jpg,8.455791e-05,0.999912,3.3989402e-06
data/seg_test/seg_test/forest/21843.jpg,0.00013465833,0.9998611,4.165166e-06
data/seg_test/seg_test/forest/23088.jpg,0.0004355983,0.99956375,6.2598536e-07
data/seg_test/seg_test/forest/23486.jpg,0.004884222,0.994128,0.0009877824
data/seg_test/seg_test/forest/20731.jpg,3.5951507e-05,0.999954,9.978786e-06
data/seg_test/seg_test/buildings/22103.jpg,0.9999032,3.6409986e-07,9.638137e-05
data/seg_test/seg_test/buildings/21291.jpg,0.99999034,2.7337178e-08,9.714526e-06
